t,EVI2
2020-08-28,
2020-09-02,0.12837204
2020-09-07,0.13788565
2020-09-12,
2020-09-17,0.13409516
2020-09-22,
2020-09-27,
2020-10-02,
2020-10-07,
2020-10-12,
2020-10-17,0.11385211
2020-10-27,
2020-11-01,0.06954018
2020-11-06,
2020-11-11,0.0831746
2020-11-16,
2020-11-21,0.09678926
2020-11-26,0.097010605
2020-12-01,
2020-12-06,0.10799716
2020-12-11,
2020-12-16,
2020-12-21,
2020-12-26,0.16963698
2020-12-31,
2021-01-05,
2021-01-10,
2021-01-15,
2021-01-20,
2021-01-25,
2021-01-30,
2021-02-04,
2021-02-09,
2021-02-14,
2021-02-19,0.32662687
2021-02-24,0.3693145
2021-03-01,0.40443635
2021-03-06,
2021-03-11,
2021-03-16,
2021-03-21,
2021-03-26,
2021-03-31,0.58201295
2021-04-05,0.49864817
2021-04-10,
2021-04-15,0.14973865
2021-04-20,
2021-04-25,
2021-04-30,
2021-05-05,
2021-05-10,0.08519157
2021-05-15,
2021-05-20,0.091611065
2021-05-25,
2021-05-30,
2021-06-04,
2021-06-09,0.1629777
2021-06-14,
2021-06-19,
2021-06-24,
2021-06-29,
2021-07-04,
2021-07-09,
2021-07-14,
2021-07-19,0.603511
2021-07-24,
2021-07-29,0.60380036
2021-08-03,
2021-08-08,0.731051
2021-08-13,
2021-08-18,0.39136598
2021-08-23,0.6056811
2021-08-28,0.6566011
2021-09-02,
2021-09-07,0.5453906
2021-09-12,0.55759764
2021-09-17,0.5660236
2021-09-22,0.24937107
2021-09-27,
2021-10-02,
2021-10-07,0.18664995
2021-10-12,0.10149658
2021-10-17,0.08773525
2021-10-22,
2021-10-27,0.077152655
2021-11-01,
2021-11-06,
2021-11-11,
2021-11-16,
2021-11-21,
2021-11-26,0.09613266
2021-12-01,
2021-12-06,
2021-12-11,0.18837863
2021-12-16,0.17208785
2021-12-21,
2021-12-26,
2021-12-31,0.22354333
2022-01-05,
2022-01-10,
2022-01-15,0.25851423
2022-01-20,
2022-01-25,0.25256246
2022-01-30,
2022-02-04,
2022-02-09,0.2851542
2022-02-14,0.3020706
2022-02-19,
2022-02-24,
2022-03-01,
2022-03-06,
2022-03-11,
2022-03-16,
2022-03-21,0.52917504
2022-03-26,
2022-03-31,
2022-04-05,0.5350788
2022-04-10,0.5273687
2022-04-15,0.5712018
2022-04-20,
2022-04-25,
2022-04-30,
2022-05-05,
2022-05-10,0.55300397
2022-05-15,
2022-05-20,
2022-05-25,
2022-05-30,0.35197103
2022-06-04,
2022-06-09,0.15322208
2022-06-14,0.14755091
2022-06-19,
2022-06-24,
2022-06-29,0.10184305
2022-07-04,0.11506518
2022-07-09,0.1351907
2022-07-14,0.13411589
2022-07-19,
2022-07-24,0.12925479
2022-07-29,0.13544096
2022-08-03,0.12596813
2022-08-08,0.13140537
2022-08-13,0.1358531
2022-08-18,
2022-08-23,
2022-08-28,0.11564661
2022-09-02,
2022-09-07,
2022-09-12,0.10804712
2022-09-22,0.091305524
2022-09-27,
2022-10-02,
2022-10-07,0.07908218
2022-10-12,0.06543768
2022-10-17,
2022-10-22,0.0611228
2022-10-27,
2022-11-01,
2022-11-06,0.0725286
2022-11-11,0.07687601
2022-11-16,0.09058357
2022-11-21,
2022-11-26,
2022-12-01,
2022-12-06,
2022-12-11,
2022-12-16,
2022-12-21,0.23107664
2022-12-26,
2022-12-31,
2023-01-05,
2023-01-10,
2023-01-15,
2023-01-20,
2023-01-25,
2023-01-30,0.46848395
2023-02-04,0.50334865
2023-02-09,0.50030607
2023-02-14,0.49110472
2023-02-19,0.49643302
2023-02-24,
2023-03-01,0.447308
2023-03-06,
2023-03-11,
2023-03-16,0.6514122
2023-03-21,
2023-03-26,
2023-03-31,
2023-04-05,0.13204075
2023-04-10,
2023-04-15,
2023-04-20,0.13819854
2023-04-25,
2023-04-30,
2023-05-05,
2023-05-10,
2023-05-15,
2023-05-20,
2023-05-25,
2023-05-30,0.27239093
2023-06-04,
2023-06-09,
2023-06-14,
2023-06-19,
2023-06-24,0.45408228
2023-06-29,
2023-07-04,
2023-07-09,0.49933934
2023-07-14,0.5567131
2023-07-19,0.37840208
2023-07-24,
2023-07-29,
2023-08-03,0.5630157
2023-08-08,0.5136064
2023-08-13,
2023-08-18,
2023-08-23,0.16365527
2023-08-28,
2023-09-02,
2023-09-07,0.10236356
2023-09-12,
2023-09-17,
2023-09-22,
2023-09-27,0.10530122
2023-10-02,0.10094661
2023-10-07,0.10986852
2023-10-12,0.080939785
2023-10-17,
2023-10-22,
2023-10-27,
2023-11-01,
2023-11-06,0.10626035
2023-11-11,
2023-11-16,
2023-11-21,
2023-11-26,0.1118169
2023-12-01,
2023-12-06,
2023-12-11,
2023-12-16,0.14788158
2023-12-21,
2023-12-26,
2023-12-31,
2024-01-05,
2024-01-10,
2024-01-20,0.24736126
2024-01-25,0.11047213
2024-01-30,
2024-02-04,
2024-02-09,
2024-02-14,0.40586987
2024-02-19,
2024-02-24,
2024-02-29,0.46959567
2024-03-05,
2024-03-10,
2024-03-15,0.47379506
2024-03-20,
2024-03-25,
2024-03-30,
2024-04-04,0.46990645
2024-04-09,
2024-04-14,
2024-04-19,0.5233914
2024-04-24,
2024-04-29,
2024-05-04,
2024-05-09,0.54991114
2024-05-14,
2024-05-19,
2024-05-24,
2024-05-29,
2024-06-03,
2024-06-08,
2024-06-13,0.31212956
2024-06-18,
2024-06-23,
2024-06-28,
2024-07-03,0.15879537
2024-07-08,0.13996455
2024-07-13,0.1416355
2024-07-18,0.16762365
2024-07-23,0.16743577
2024-07-28,0.17751989
2024-08-02,
2024-08-07,
2024-08-12,
2024-08-17,0.25159404
2024-08-22,0.18176818
2024-08-27,0.10582113
2024-09-01,
2024-09-06,
2024-09-11,
2024-09-16,
2024-09-21,
2024-09-26,
2024-10-01,
2024-10-06,0.12701687
2024-10-11,0.09406962
2024-10-16,
2024-10-21,0.08046979
2024-10-26,
2024-10-31,
2024-11-05,
2024-11-10,
2024-11-15,0.1675931
2024-11-20,
2024-11-25,0.100776784
2024-11-30,0.13799873
2024-12-05,
2024-12-10,
2024-12-15,0.14629605
2024-12-20,0.21723667
2024-12-25,
2024-12-30,
